"period","crime","delx","dely","alpha","eta","lt","theta","k","l1","l2","lambda","delta","t0","p","kde.bw","kde.n","kde.lags","pei","pai"
"1m","all",683,487,0.616345,0.948226,5.118255,0,25,1e-05,1e-04,99,99,99,99,313.066677,"all",2,0.916505791505791,26.6416018329388
"1m","all",250,250,0,2.724101,7.428727,0,500,0,0,99,99,99,99,236.738011,"all",5,0.759761139182361,51.8227382261062
"1w","all",346,776,0.548648,0.905262,4.153121,0,345,0,1e-05,99,99,99,99,424.320422,"all",6,0.845132743362832,29.5858267795678
"1w","all",365,257,0.07457,0.753515,2.486889,0,311,0,0,99,99,99,99,240.638775,"all",6,0.688149688149688,46.6160002521466
"2m","all",900,295,0,0.5,14,0,500,0,1e-06,99,99,99,99,603.72322,"all",4,0.909171466548516,33.6249720902934
"2m","all",250,487,0,0.5,11.346232,0,500,0,0,99,99,99,99,194.664393,"all",1,0.84492160872529,41.2375095365954
"2w","all",572,467,0.150473,4.63394,6.026748,0,252,0,1e-06,99,99,99,99,328.537065,"all",2,0.881789137380192,34.4678069372261
"2w","all",250,250,0.00521,4.236398,14,0,498,0,1e-06,99,99,99,99,133.010219,"all",6,0.690909090909091,51.8728915485495
"3m","all",460,407,0,4.309012,0.5,0,500,0,1e-05,99,99,99,99,276.081702,"all",1,0.916417910447761,38.1944454555076
"3m","all",366,351,0,3.823484,14,0,10,0,0,99,99,99,99,360.758042,"all",3,0.844717444717445,39.1525422403719
"1m","burglary",250,250,0.954731,0.5,4.94481,0,10,0,0.001,99,99,99,99,1000,"all",3,0.146341463414634,29.7581002999097
"1m","burglary",250,250,0.231671,4.342349,13.254997,0,15,0,0.01,99,99,99,99,850.939999,"all",5,0.0975609756097561,39.4340470231932
"1w","burglary",250,900,1,2.178552,13.936542,0,485,0.005,0.01,99,99,99,99,1000,"all",5,0.5,99.4632156763285
"1w","burglary",250,900,0,1.440569,14,0,41,1e-04,1e-05,99,99,99,99,990.085288,"all",3,0.2,118.072462480287
"2m","burglary",468,395,0.119559,1.339679,8.152063,0,474,0.005,0.01,99,99,99,99,144.15128,"all",5,0.169811320754717,31.1346489102359
"2m","burglary",250,250,0,1.53022,7.433758,0,10,0,1e-04,99,99,99,99,975.462461,"all",1,0.0948275862068965,47.2320630020855
"2w","burglary",250,250,0.679305,2.57743,13.544386,0,500,0.001,0.005,99,99,99,99,125,"all",6,0.241379310344828,60.468210102006
"2w","burglary",250,250,0.09595,0.5,14,0,10,1e-06,0,99,99,99,99,1000,"all",5,0.172413793103448,85.4089111537464
"3m","burglary",568,614,0.2311,3.919253,2.503355,0,457,1e-04,1e-06,99,99,99,99,650.801842,"all",5,0.222222222222222,16.6181260191563
"3m","burglary",250,250,0,0.5,12.624538,0,498,1e-06,0,99,99,99,99,125,"all",3,0.11965811965812,42.0181339693878
"1m","street",625,538,0.262002,2.124716,4.749847,0,48,0,1e-06,99,99,99,99,275.483927,"all",4,0.862637362637363,41.7822027478401
"1m","street",250,250,0,4.128431,3.97802,0,366,0,0,99,99,99,99,125,"all",4,0.661737523105361,73.2249260968607
"1w","street",600,450,0,0.5,0.5,0,100,0,1e-05,99,99,99,99,250,"all",6,0.656716417910448,50.3107783597963
"1w","street",250,250,0,1.741821,14,0,500,0,0,99,99,99,99,125,"all",1,0.3875,71.0950103029797
"2m","street",778,459,0.13081,1.795307,9.287239,0,108,0,0,99,99,99,99,222.722739,"all",1,0.923460898502496,45.5255756056003
"2m","street",250,250,0,2.368809,10.722869,0,500,0,0,99,99,99,99,125,"all",3,0.689161554192229,70.5109571643505
"2w","street",446,806,0.107754,1.004468,2.30932,0,369,0,1e-05,99,99,99,99,691.776276,"all",5,0.8,45.6299518357969
"2w","street",250,250,0,5,14,0,500,0,0,99,99,99,99,491.022086,"all",1,0.347670250896057,54.5512676199126
"3m","street",703,503,0.05306,4.081738,8.427008,0,135,0,1e-06,99,99,99,99,633.705207,"all",3,0.948119325551232,46.5565661598027
"3m","street",250,250,0.001668,5,14,0,500,0,0,99,99,99,99,125,"all",6,0.700220426157237,67.4534885596885
"1m","vehicle",659,529,0.082766,2.522091,8.746889,0,23,0,0,99,99,99,99,694.80779,"all",3,0.242424242424242,19.8478539717966
"1m","vehicle",295,328,0.082805,1.114588,9.34124,0,176,0,0,99,99,99,99,607.109579,"all",3,0.10989010989011,24.4746982411879
"1w","vehicle",286,310,0.676194,2.895102,5.553438,0,220,0,0.1,99,99,99,99,442.143288,"all",3,0.133333333333333,33.4735765867379
"1w","vehicle",561,341,0.016146,0.51456,7.329324,0,155,0,1e-05,99,99,99,99,654.021862,"all",1,0.102564102564103,50.3511597029769
"2m","vehicle",593,454,0.324759,2.251719,11.285564,0,172,0,0,99,99,99,99,530.821745,"all",6,0.263888888888889,19.5326576161796
"2m","vehicle",250,250,0,5,14,0,10,1e-06,0.001,99,99,99,99,125.026806,"all",1,0.136,28.9026470656482
"2w","vehicle",900,250,0.002735,5,14,0,350,0,0,99,99,99,99,125,"all",3,0.138888888888889,30.4310470310017
"2w","vehicle",250,250,0,3.682543,14,0,495,1e-06,0,99,99,99,99,129.955407,"all",1,0.0721649484536082,42.4513106082474
"3m","vehicle",532,534,0.114798,3.814704,13.087678,0,200,0,0,99,99,99,99,436.727105,"all",6,0.313432835820896,20.1715839841691
"3m","vehicle",250,250,0,5,0.5,0,500,0,0,99,99,99,99,1000,"all",6,0.160583941605839,25.7287977387106
